shoe,Clothing,Covering that is worn on one's feet.,7
cloak,Clothing,Pending,5
garment,Clothing,Pending,4
thread,clothing,Pending,2
flax skirt,Clothing,Pending,3
jersey,Clothing,Pending,7
hat,Clothing,Pending,7
trousers,clothing,Pending,7
socks,clothing,Pending,2
god,Culture / Religion,Pending,4
war dance,Culture / Religion,Pending,4
flag,Culture / Religion,Pending,7
prayer,Culture / Religion,Pending,6
ghost,Culture / Religion,Pending,2
basket,Culture / Religion,Pending,3
marae,Culture / Religion,Pending,9
life spirit,Culture / Religion,Pending,2
greenstone,Culture / Religion,Pending,5
spirit,Culture / Religion,Pending,2
smelly,Descriptive,Pending,2
blue,Descriptive,Pending,2
green,Descriptive,Pending,10
colour,Descriptive,Pending,8
orange,Descriptive,Pending,1
sharp,Descriptive,Pending,8
yellow,Descriptive,Pending,4
red,Descriptive,Pending,1
white,Descriptive,Pending,10
warm,Descriptive,Pending,10
easy,Descriptive,Pending,1
sore,Descriptive,Pending,4
cold,Descriptive,Pending,1
hungry,Descriptive,Pending,6
majority,Descriptive,Pending,8
small,Descriptive,Pending,7
very small,Descriptive,Pending,6
black,Descriptive,Pending,9
brown,Descriptive,Pending,10
short,Descriptive,Pending,7
engine,Descriptive,Pending,10
sweet,Descriptive,Pending,6
brave,Descriptive,Pending,9
love,Emotions,Pending,8
worried,Emotions,Pending,10
happy,Emotions,Pending,6
no!,Emotions,Pending,10
bad,Emotions,Pending,7
happy,Emotions,Pending,5
scared,Emotions,Pending,8
lonely,Emotions,Pending,5
tears,emotions,Pending,9
to cry,emotions,Pending,1
ice cream,Food,Pending,8
apple,Food,Pending,7
feast,Food,Pending,6
oven,food,Pending,1
egg,Food,Pending,9
oil,Food,Pending,7
fruit,Food,Pending,3
sugar,Food,Pending,4
to drink,Food,Pending,4
food,Food,Pending,10
seafood,food,Pending,5
seed,Food,Pending,6
corn,Food,Pending,1
cup,Food,Pending,9
carrot,food,Pending,9
cake,Food,Pending,10
to boil,Food,Pending,9
sweet potato,Food,Pending,7
honey,food,Pending,7
milk,food,Pending,2
meat,food,Pending,1
banana,food,Pending,3
breakfast,food,Pending,10
butter,food,Pending,6
flounder (fish),food,Pending,2
abalone,food,Pending,7
pear,food,Pending,7
bacon,food,Pending,8
potato,food,Pending,2
to cook,food,Pending,4
tea,food,Pending,5
salt,food,Pending,5
water,food,Pending,2
juice,food,Pending,3
half,Math / Number,Pending,2
how many?,Math / Number,Pending,9
nine,Math / Number,Pending,6
to count,Math / Number,Pending,6
graph,Math / Number,Pending,3
kilometre,Math / Number,Pending,7
one,Math / Number,Pending,2
many,Math / Number,Pending,5
thousand,Math / Number,Pending,8
million,Math / Number,Pending,10
metre,Math / Number,Pending,4
number,Math / Number,Pending,2
six,Math / Number,Pending,10
circumference,Math / Number,Pending,8
mathematics,Math / Number,Pending,6
hundred,Math / Number,Pending,10
five,Math / Number,Pending,5
two,Math / Number,Pending,7
ten,Math / Number,Pending,5
three,Math / Number,Pending,8
second,Math / Number,Pending,8
first,Math / Number,Pending,4
third,Math / Number,Pending,9
fourth,Math / Number,Pending,3
four,Math / Number,Pending,5
fire,Outdoors,Pending,8
cave,Outdoors,Pending,4
shell,Outdoors,Pending,3
planet,Outdoors,Pending,1
path,Outdoors,Pending,4
smoke,Outdoors,Pending,1
river,Outdoors,Pending,4
daylight,Outdoors,Pending,1
journey,Outdoors,Pending,3
flax,Outdoors,Pending,8
ice,Outdoors,Pending,3
cloud,Outdoors,Pending,8
sand,Outdoors,Pending,2
nest,Outdoors,Pending,5
stone,Outdoors,Pending,3
cold,Outdoors,Pending,1
stream,Outdoors,Pending,9
garden,Outdoors,Pending,5
rain,Outdoors,Pending,10
mountain,Outdoors,Pending,1
sea,Outdoors,Pending,7
island,Outdoors,Pending,8
forest,Outdoors,Pending,1
wave,Outdoors,Pending,9
stone,Outdoors,Pending,6
hill,Outdoors,Pending,3
hot spring,Outdoors,Pending,10
canoe,Outdoors,Pending,8
leader,People,Pending,6
pregnant,People,Pending,2
healthy,People,Pending,9
intellect,People,Pending,2
friend,People,Pending,6
enemy,People,Pending,7
soldier,People,Pending,1
nose,People,Pending,2
tribe,People,Pending,8
speaker,People,Pending,2
worker,People,Pending,3
scientist,People,Pending,7
author,People,Pending,4
manager,People,Pending,2
neck,People,Pending,2
eye,People,Pending,8
face,People,Pending,7
captain,People,Pending,4
grandmother,People,Pending,1
messenger,People,Pending,4
eye,People,Pending,9
elder,People,Pending,8
government,People,Pending,1
skin,People,Pending,6
aunt,People,Pending,3
girl,People,Pending,8
queen,People,Pending,10
head,People,Pending,1
mother,People,Pending,8
honour,People,Pending,4
heart,People,Pending,10
guest,People,Pending,6
grandchild,People,Pending,2
rascal,People,Pending,6
tooth,People,Pending,9
orphan,People,Pending,10
baby,People,Pending,6
police officer,People,Pending,5
lungs,People,Pending,4
young man,People,Pending,5
doctor,People,Pending,5
daughter,People,Pending,8
child,People,Pending,1
boy,People,Pending,5
man,People,Pending,7
people,People,Pending,6
ear,People,Pending,7
foot,people,Pending,2
mouth,people,Pending,4
coast,Places,Pending,9
branch,plants,Pending,10
grass,plants,Pending,9
flower,plants,Pending,8
leaf,plants,Pending,5
cabbage tree,plants,Pending,4
student,School,Pending,6
technology,school,Pending,4
teacher,school,Pending,6
college,school,Pending,3
school,school,Pending,8
education,school,Pending,8
knowledge,school,Pending,1
science,school,Pending,10
study,school,Pending,3
student,school,Pending,3
sport,sport,Pending,5
player,Sport,Pending,6
electricity,technology,Pending,9
radio,technology,Pending,2
machine,technology,Pending,2
bus,technology,Pending,7
boat,technology,Pending,2
television,technology,Pending,10
airplane,technology,Pending,6
medicine,technology,Pending,7
computer,technology,Pending,3
truck,technology,Pending,1
telephone,technology,Pending,1
car,technology,Pending,1
wheel,technology,Pending,4
afternoon,Time,Pending,3
soon,Time,Pending,6
tomorrow,Time,Pending,7
hour,Time,Pending,9
birthday,Time,Pending,4
clock,Time,Pending,1
month,Time,Pending,5
minute,Time,Pending,3
night,Time,Pending,5
day,Time,Pending,8
sun,Time,Pending,2
length of time,Time,Pending,3
week,Time,Pending,7
